ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,Link Submitted,Link Type,Submitted ASIN type,Submitted ASIN (Clean),Ebook 1 ASIN,Clean Amazon US link,Direct?,Direct link,International?,Wide?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
12,NOBODY103,Mother of Learning,4,https://www.amazon.com/dp/B0CHSJ19J9,Amazon,Series,B0CHSJ19J9,B09M2R6QLF,https://www.amazon.com/dp/B09M2R6QLF,FALSE,,FALSE,TRUE,"https://m.media-amazon.com/images/I/81wXfuJFjTL._CLa%7C3129,2560%7C91M8dCork8L.jpg,81NXjG0TyuL.jpg%7C0,0,1422,2560+1707,0,1422,2560+711,0,1707,2560_._SY300_.jpg",https://www.kobo.com/en/ebook/mother-of-learning-arc-1,,https://play.google.com/store/books/details/nobody103_Mother_of_Learning_ARC_1?id=uj1UEAAAQBAJ,https://books.apple.com/book/mother-of-learning-arc-1/id6449432785,https://www.barnesandnoble.com/w/mother-of-learning-nobody103/1143529473?ean=2940160807478
13,ALEXANDER WALES,This Used To Be About Dungeons,1,https://www.amazon.com/dp/B0CFN5GZPM,Amazon,Ebook,B0CFN5GZPM,B0CFN5GZPM,https://www.amazon.com/dp/B0CFN5GZPM,FALSE,,FALSE,FALSE,,,,,,
14,DAVID ESTES & BEN GALLEY,Demon's Reign,2,https://www.amazon.com/dp/B0BJBFVPX4,Amazon,Ebook,B0BJBFVPX4,B0BJBFVPX4,https://www.amazon.com/dp/B0BJBFVPX4,FALSE,,FALSE,FALSE,,,,,,
15,DAVID ESTES & GD PENMAN,The Last King,3,https://www.amazon.com/dp/B0BKN6FH6G,Amazon,Series,B0BKN6FH6G,B0BFT1G6W9,https://www.amazon.com/dp/B0BFT1G6W9,FALSE,,FALSE,FALSE,"https://m.media-amazon.com/images/I/81+ODtIgvkL._CLa%7C3109,2560%7C81+AR-LdUWL.jpg,81Pg2llrkTL.jpg%7C0,0,1413,2560+1696,0,1413,2560+706,0,1696,2560_._SY300_.jpg",,,,,
16,DAVID MUSK,The Mana Arts Saga,2,https://www.amazon.com//dp/B0D7WS5412,Amazon,Series,B0D7WS5412,B0D7XSBKH2,https://www.amazon.com/dp/B0D7XSBKH2,FALSE,,TRUE,FALSE,"https://m.media-amazon.com/images/I/91hc4-kMvJL._CLa%7C2297,2000%7C81JgR1C6MkL.jpg,71kA7C6UfAL.jpg%7C0,0,1044,2000+1253,0,1044,2000+522,0,1253,2000_._SY300_.jpg",,,,,
17,DAVID MUSK,Aeonica,4,https://www.amazon.com/dp/B0B5CFB1WZ/,Amazon,Series,B0B5CFB1WZ,B09YXQJ4VD,https://www.amazon.com/dp/B09YXQJ4VD,FALSE,,TRUE,FALSE,"https://m.media-amazon.com/images/I/71E23DYo8GL._CLa%7C2940,2560%7C81v2Bseg-EL.jpg,91l0s9cJzNL.jpg%7C0,0,1336,2560+1604,0,1336,2560+668,0,1604,2560_._SY300_.jpg",,,,,
18,MARIE M. MULLANY,Sangwheel Chronicles,4,https://www.amazon.com/Sangwheel-Chronicles/dp/B099Q91TL1,Amazon,Series,B099Q91TL1,B099Q5YPVB,https://www.amazon.com/dp/B099Q5YPVB,TRUE,https://www.mariemullany.com/category/sangwheel,TRUE,TRUE,"https://m.media-amazon.com/images/I/7138-1tSnYL._CLa%7C2933,2560%7C81ZJCbMJRVL.jpg,71ZxZ+dWXOL.jpg%7C0,0,1333,2560+1600,0,1333,2560+666,0,1600,2560_._SY300_.jpg",https://www.kobo.com/en/ebook/the-hidden-blade-2,https://www.smashwords.com/books/view/1094949,https://play.google.com/store/books/details/Marie_M_Mullany_The_Hidden_Blade?id=p92iEAAAQBAJ,https://books.apple.com/book/the-hidden-blade/id1577235536,https://www.barnesandnoble.com/w/the-hidden-blade-marie-m-mullany/1139871265?ean=2940164967734
19,MARIE M. MULLANY & MAXWELL ALEXANDER DRAKE,Magicfall,1,https://www.amazon.com/gp/product/B0C7SRKZTF,Amazon,Ebook,B0C7SRKZTF,B0C7SRKZTF,https://www.amazon.com/dp/B0C7SRKZTF,FALSE,,TRUE,FALSE,,,,,,
20,TRUDIE SKIES,The Cruel Gods,3,https://www.amazon.com/dp/B09HKYPPZ4,Amazon,Series,B09HKYPPZ4,B09CW634WH,https://www.amazon.com/dp/B09CW634WH,FALSE,,TRUE,FALSE,"https://m.media-amazon.com/images/I/81K0+G8YZCL._CLa%7C2933,2560%7C81xbHPci7YL.jpg,916sSlZ821L.jpg%7C0,0,1333,2560+1600,0,1333,2560+666,0,1600,2560_._SY300_.jpg",,,,,
21,S.L. ROWLAND,The Halfling's Harvest,1,https://www.amazon.com/dp/B0D6BVGJ1G,Amazon,Ebook,B0D6BVGJ1G,B0D6BVGJ1G,https://www.amazon.com/dp/B0D6BVGJ1G,FALSE,,FALSE,FALSE,,,,,,
22,S.L. ROWLAND,Sentenced to Troll,1,https://www.amazon.com/dp/B07L6QL8KK,Amazon,Ebook,B07L6QL8KK,B07L6QL8KK,https://www.amazon.com/dp/B07L6QL8KK,FALSE,,FALSE,FALSE,,,,,,
