ID,AUTHOR NAME,BOOK/SERIES NAME,BOOKS PLEDGED,LINK MUST END IN ASIN,Clean ASIN,Clean Amazon US Link,Wide?,SPFBO/SPSFC?,SPFBO/SPSFC Cohort,Direct?,Direct link,Books available Internationally,International?,Image URL (for Rose's use),Kobo Link,Smashwords Link,Google Play Link,Apple Books Link,Barnes & Noble Link
66,DAWN CHAPMAN,Lethao,1,https://www.amazon.com/gp/product/B0CT8TW5Y1,B0CT8TW5Y1,https://www.amazon.com/dp/B0CT8TW5Y1,FALSE,FALSE,,FALSE,,,FALSE,,,,,,
67,STEVE HUGH WESTENRA,The Sands of Hazzan,1,http://www.amazon.com/dp/B0C9FWSH91,B0C9FWSH91,https://www.amazon.com/dp/B0C9FWSH91,TRUE,TRUE,SPFBO9,FALSE,,,FALSE,,https://www.kobo.com/en/ebook/the-wings-of-ashtaroth,https://www.smashwords.com/books/view/1394961,,,https://www.barnesandnoble.com/w/the-wings-of-ashtaroth-steve-hugh-westenra/1143498080?ean=2940167575288
68,STEVE HUGH WESTENRA,The Erstwhile Tyler Kyle,1,https://www.amazon.com/dp/B0CKYRY4ZB,B0CKYRY4ZB,https://www.amazon.com/dp/B0CKYRY4ZB,TRUE,TRUE,SPFBOX,FALSE,,,FALSE,,https://www.kobo.com/en/ebook/the-erstwhile-tyler-kyle,https://www.smashwords.com/books/view/1447606,,https://books.apple.com/book/the-erstwhile-tyler-kyle/id6465424375,https://www.barnesandnoble.com/w/the-erstwhile-tyler-kyle-steve-hugh-westenra/1144048317?ean=2940167232327
69,ALEX KNOWLES,Zero Car,1,https://www.amazon.com/gp/product/B093W1QNK8,B093W1QNK8,https://www.amazon.com/dp/B093W1QNK8,FALSE,TRUE,SPSFC,FALSE,,,TRUE,,,,,,
70,ALEX KNOWLES,The Bright Lord,1,https://www.amazon.com/Bright-Lord-Epic-Litrpg-Books-ebook/dp/B0BH8Q6DYD,B0BH8Q6DYD,https://www.amazon.com/dp/B0BH8Q6DYD,FALSE,TRUE,SPFBO7,FALSE,,,TRUE,,,,,,
71,TAR ATORE,Soultaming the Serpent,1,https://www.amazon.com/gp/product/B0CGP75RK5,B0CGP75RK5,https://www.amazon.com/dp/B0CGP75RK5,TRUE,TRUE,SPFBOX,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/soultaming-the-serpent,https://www.smashwords.com/books/view/1443513,https://play.google.com/store/books/details/Tar_Atore_Soultaming_the_Serpent?id=bvzgEAAAQBAJ,https://books.apple.com/book/soultaming-the-serpent/id6463748784,https://www.barnesandnoble.com/w/soultaming-the-serpent-tar-atore/1144309076?ean=2940186199618
72,TAR ATORE,The Star Catcher,1,https://www.amazon.com/dp/B0CPFZX8WY,B0CPFZX8WY,https://www.amazon.com/dp/B0CPFZX8WY,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
73,CLAUDIE ARSENEAULT,City of Strife,1,https://www.amazon.com/dp/B06VWYQNXH,B06VWYQNXH,https://www.amazon.com/dp/B06VWYQNXH,TRUE,FALSE,,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/city-of-strife,https://www.smashwords.com/books/view/1232431,https://play.google.com/store/books/details/Claudie_Arseneault_City_of_Strife?id=LwWlEAAAQBAJ,https://books.apple.com/book/city-of-strife/id1206759039,https://www.barnesandnoble.com/w/city-of-strife-claudie-arseneault/1125796781?ean=2940154242568
74,M. DANIEL McDOWELL,Bringer of the Scourge,1,https://www.amazon.com/dp/B0CGY6P3QX,B0CGY6P3QX,https://www.amazon.com/dp/B0CGY6P3QX,TRUE,TRUE,SPFBOX Semi-finalist,FALSE,,,TRUE,,https://www.kobo.com/en/ebook/bringer-of-the-scourge,https://www.smashwords.com/books/view/1455875,https://play.google.com/store/books/details/M_Daniel_McDowell_Bringer_of_the_Scourge?id=dRzdEAAAQBAJ,https://books.apple.com/book/bringer-of-the-scourge/id64674676877,https://www.barnesandnoble.com/w/bringer-of-the-scourge-m-daniel-mcdowell/1144112806?ean=2940179205494
75,TAO WONG,Magic Kingdom at War,3,https://www.amazon.com/dp/B0D343FD83,B0D343FD83,https://www.amazon.com/dp/B0D343FD83,FALSE,FALSE,,FALSE,,,TRUE,,,,,,
